Designator,Mid X,Mid Y,Rotation,Layer
C1,114.25,-105.5,180.0,top
C2,124.0,-104.0,0.0,top
D1,57.5,-117.0,0.0,top
D10,181.0,-117.0,0.0,top
D11,194.5,-112.0,0.0,top
D12,207.5,-117.0,0.0,top
D2,70.5,-112.0,0.0,top
D3,85.0,-117.0,0.0,top
D4,98.5,-112.0,0.0,top
D5,112.5,-117.0,0.0,top
D6,128.0,-117.0,0.0,top
D7,140.5,-112.0,0.0,top
D8,154.0,-117.0,0.0,top
D9,167.5,-112.0,0.0,top
H1,51.5,-102.5,0.0,top
H2,51.5,-118.5,0.0,top
H3,212.5,-118.5,0.0,top
H4,212.5,-102.5,0.0,top
R1,62.75,-107.25,90.0,top
R2,59.75,-107.25,90.0,top
R3,108.5,-105.5,180.0,top
U1,119.9,-109.4625,0.0,top
